Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
CDOhygHn_1_0,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ajde de,6401,"Cura mala, cura mala
mi se pojadala
kaze jadna sve bi dala
kad bi ljubit' znala

Ref.
Ajde, ajde, ajde de
ajde curo ne placi
evo mene barabe
da te ljubit' nauci
 
Sve me gleda, sve me gleda
pa mi se nasmije
kaze jadna ljubila bi
al' jos nikad nije

Ma ne boj se milovati
ne boj se ljubiti
nitko od tog umro nije
neces curo ni ti

","https://tekstovi.net/2,610,11183.html",,,,,,,
CDOhygHn_1_1,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ako odes ti,10526,"Ako odes ti
ako srusis sve
ako odes necu 'mrijeti
necu molit', necu kleti tebe
bit ce mi zao

Ako jednom ti
drugog zavolis
srcu mome ne vracaj se
ne varaj se 
ne nadaj se meni
vise nikada

Za me ne pitaj
i ne pisi mi
neka vrijeme cini svoje
mozda jednom 
srce ludo moje
nadje zaborav

Za me, ne pitaj
vise nikada

","https://tekstovi.net/2,610,11142.html",,,,,,,
CDOhygHn_1_2,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Andrija Cordas,94063,"Andrija Cordas 
siroce iz drugog rata
omalen covjek, vedrih ociju
copori svinja, vatrica tinja

Savske bare i dubina
velikog neba slavonskog
im'o dva psa, dva druga
to nije bilo gazda i sluga
to je bilo prijateljstvo iskreno
 
Pricaju ljudi mlad je bio
lijepu je Slavu zavolio
a nju je bolest, rano uzela
k'o vuk samotnjak tugu je krio
nije po birtija plak'o i pio

Samo on zna kako nasao je mir
kad bi ga pitali sto zivi tako
zasto ne stekne imanja
a on bi rek'o
pa nek se bogati k'o o tom sanja

Ref.
Jer nije sretan k'o puno ima
sretan je onaj tko malo treba
ne da se sreca zlatom kupiti
sva blaga svijeta nista ne vrijede

Jadan je onaj kog' vrag zavede
pa cijeli zivot samo dukate 
na hrpu sprema
dzaba mu svega
kad u dusi mira nema

Sanjivom plavom seoskom zorom
svirala frula sirokim sorom
njegova pjesma je sokak budila
i sve su gazde bas njega htjele

Kod njeg' su svinje bolje jele
tko zna zasto, mozda i njima 
dobrote fali

A znao je reci, marva je marva
u trnju jede, u blatu spava
ali se nikada ne uprlja k'o covjek

Bio je Andra na svoju ruku
po selu pricali mimo svijeta
ljudi k'o ljudi, ljudima uvijek 
nesto smeta

A samo je zivio kako je htio
i s ono malo sretan bio
na racun tuge, na racun 
srece sale zbij'o

Zivot je cesta pa biraj gdje ces
al' zalud grabis i zalud stjeces
kad tamo gore nista od toga 
ponijet' neces

Bjezale godine, uvijek je tako
pa i on stario polako
i sve se rjedje cula frula 
u jutro rano

I prodje dobro, prodje i lose
stari sokaci nestadose
i dodje, neko vrijeme njemu strano
nestalo marve, nestalo gazda
nestalo suma i salasa
nestalo s njima 
i posljednjeg Cordasa

Umro je Andra onako tiho
kako i umru takvi ljudi
bez puno suza i tuznih stihova
svecenik rece tek dvije, tri rijeci

Pokoj mu dusi, a bio je veci
nego bi covjek rekao na izgled
samo je Sava na tren stala
samo je vrbak spustio grane
ljudi se kunu da su psi plakali","https://tekstovi.net/2,610,11457.html",,Andrija Čordaš,"Andrija, the shepherd",,"Andrija Čordaš
siroče iz Drugog rata
omalen čovjek, vedrih očiju
čopori svinja, vatrica tinja. Savske bare i dubina
velikog neba slavonskog
im'o dva psa, dva druga
to nije bilo gazda i sluga
to je bilo prijateljstvo iskreno. Pričaju ljudi mlad je bio
lijepu je Slavu zavolio
a nju je bolest rano uzela
k'o vuk samotnjak tugu je krio
nije po birtija plak'o i pio. Samo on zna kako našao je mir
kad bi ga pitali što živi tako
zašto ne stekne imanja
a on bi rek'o
pa nek se bogati k'o o tom sanja. Ref.
Jer nije sretan k'o puno ima
sretan je onaj tko malo treba
ne da se sreća zlatom kupiti
sva blaga svijeta ništa ne vrijede. Jadan je onaj kog vrag zavede
pa cijeli život samo dukate
na hrpu sprema
džaba mu svega
kad u duši mira nema. Sanjivom plavom seoskom zorom
svirala frula širokim šorom
njegova pjesma je sokak budila
i sve su gazde baš njega htjele. Kod njeg su svinje bolje jele
tko zna zašto, možda i njima
dobrote fali. A znao je reći, marva je marva
u trnju jede, u blatu spava
ali se nikada ne uprlja k'o čovjek. Bio je Andra na svoju ruku
po selu pričali mimo svijeta
ljudi k'o ljudi, ljudima uvijek
nešto smeta. A samo je živio kako je htio
i s ono malo sretan bio
na račun tuge, na račun
sreće šale zbij'o. Život je cesta pa biraj gdje ćeš
al' zalud grabiš i zalud stječeš
kad tamo gore ništa od toga
ponijet nećeš. Bježale godine, uvijek je tako
pa i on stario polako
i sve se rjeđe čula frula
u jutro rano. I prođe dobro, prođe i loše
stari Šokci nestadoše
i dođe neko vrijeme njemu strano
nestalo marve, nestalo gazda
nestalo šuma i salaša
nestalo s njima
i posljednjeg čordaša. Umro je Andra onako tiho
kako i umru takvi ljudi
bez puno suza i tužnih stihova
svećenik reče tek dvije, tri riječi. Pokoj mu duši, a bio je veći
nego bi čovjek rekao na izgled
samo je Sava na tren stala
samo je vrbak spustio grane
ljudi se kunu da su psi plakali","Andrija, the shepherd,
A Second World War orphan
Small man, bright eyed
Herds of pigs, a fire smouldering. Sava puddles and the depths
Of the huge slavonian sky
He had two hounds, two devoted companions
It wasn't like master and servant -
It was a true friendship between them.. People say when he was young
He fell in love with beautiful Slava
But illness took her early
Like a lone wolf he hid away his sadness
He didn' drink and cry around the pubs. Only he knows how he found peace
When people would ask him - why does he live in such a way
Why doesn't he earn for some estate
He would answer
Let him get rich whose dream that is.. Chorus:
Because the happy one is not the one who has lots
Happy is the one who doesn't need much
You cannot buy happiness with money
All the treasures of the world are worth nothing. Miserable is the one who had been seduced by the devil
So he just stacks goldcoins
On a heap his whole life.
All is in vain
If one has no peace in his soul. Through a dreamy blue country dawn
One fife played in a wide street
His song woke up the village
And all the farmers wanted only him(to take care of their pigs). The pigs ate better when he took care of them
Who knows why, maybe they too
Are in need of kindness.. And he would say, cattle is cattle
Eats in thornes, sleeps in the mud
But never gets as dirty as a man does.. Andra was one of a kind
They said in the village - completely different he was
People are as people are, there is always
Something bothering them.. And he only lived the way he wanted to live
He was happy with the little that he had.
About sadness, about happiness - he
Made jokes.. Life is a road so pick your way.
But in vain you grab and stack
When up there (to the heaven) you will take
Nothing. Years fled, it's always like that
He also got old slowly
And it was more and more seldom that the fife played
Early in the morning. And the good passed, and the bad passed
The old Sokci were gone
And a new time, strange to him, came
There was no cattle, there were no farmers
There were no forrests, no countryside estates
Along with them
The last shepherd vanished.. Andrija died as quietly
As such people die
Without much tears or sad songs
The priest only said two or three words. May he rest in peace, and he was more of a man
Then one would say by looking at him
Only the Sava stopped for a moment
Only the willow trees lowered their branches
People swear the dogs cried.",https://lyricstranslate.com/en/andrija-%C4%8Dorda%C5%A1-andrija-shepherd.html
CDOhygHn_1_3,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Banja Luko i ta tvoja sela,30381,"Banja Luko i ta tvoja sela
u tebi me cura zanijela
(2x)

Zanijela garavim ocima
bijelim licem i mednim ustima
(2x)
 
Garavuso kad bi moja bila
moja bi se zelja ispunila
(2x)

Mila majko povest' cu je k sebi
bit' ce draga i meni i tebi
(2x)

Banja Luko grom u tebe puk'o
jedva sam se iz tebe izvuk'o
(2x)","https://tekstovi.net/2,610,10900.html",,Banja Luko i ta tvoja sela,Бања Луко и та твоја села,,"Banja Luko i ta tvoja sela,
u tebi me cura zanijela. Zanijela garavim očima,
bijelim licem i mednim ustima. Ah moj dragi kad bi tvoja bila,
moja bi se želja ispunila. Mila majko odvest ću ga sebi,
bit će mio i meni i tebi","Бања Луко и та твоја села,
у теби ме цура занијела. Занијела гаравим очима,
бијелим лицем и медним устима. Ах мој драги кад би твоја била,
моја би се жеља испунила. Мила мајко одвест ћу га себи,
бит ће мио и мени и теби",https://lyricstranslate.com/en/%D0%B1%D0%B0%D1%9A%D0%B0-%D0%BB%D1%83%D0%BA%D0%BE-%D0%B8-%D1%82%D0%B0-%D1%82%D0%B2%D0%BE%D1%98%D0%B0-%D1%81%D0%B5%D0%BB%D0%B0-banja-luko-i-ta-tvoja-sela.html
CDOhygHn_1_4,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bez tebe mi ne mirise cvijece,6295,"Nema dana, nema noci
k'o da niceg nema vise
nit' se sunce zorom javlja
nit' oblaci nose kise

Ne postojim ja
ja sam sjena covjeka
kojega se sjecas
 
Ref.
Bez tebe mi ne mirise cvijece
bez tebe mi dusa u raj nece
sve sto mi je bilo sveto
postalo mi je prokleto
zivot samo prolazi kraj mene

Nisu moje usne zedne
niti vina, niti smijeha
ne trazi mi dusa vise
niti pjesme, niti grijeha

Bez tebe sam ja
sjena onog covjeka
kojega se sjesas

Ref.","https://tekstovi.net/2,610,39404.html",,Bez tebe mi ne miriše cvijeće,Without you flowers don't smell to me no more,,"Nema dana, nema noći,
ko da ničeg nema više.
Nit se sunce zorom javlja,
nit oblaci nose kiše.
Ne postojim ja...
Ja sam sjena čovjeka
kojega se sjećaš.. (Pripjev)
Bez tebe mi ne miriše cvijeće...
Bez tebe mi duša u raj neće..
Sve što mi je bilo sveto,
ostalo mi je prokleto.
Život samo prolazi kraj mene.... Nisu moje usne žedne -
niti vina, niti smijeha.
Ne traži mi duša više -
niti pjesme, niti grijeha.
Bez tebe sam ja
sjena onog čovjeka
kojega se sjećaš.. (Pripjev)","There isn't a day, there isn't a night,
As if there is nothing any more.
Neither does the sun come with the dawn,
Nor do the clouds carry the rain.
I do not exist...
I am a shadow of the man
You remember.. (Chorus)
Without you flowers don't smell to me no more
Without you, my soul won't go to heaven...
All that was sacred for me,
Remained damned.
Life just passes me by.... My lips aren't thirsty -
not after wine, not after laughter.
My soul asks nothing more -
No songs, nor sins.
Without you I am
A shadow of the man
You remember.. (Chorus)",https://lyricstranslate.com/en/bez-tebe-mi-ne-miri%C5%A1e-cvije%C4%87e-without-you-flowers-dont-smell-me-no-more.html
CDOhygHn_1_5,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bijeli Bozic,5990,"Bijeli Bozic zasjao
kao zlatni brijeg
i u sobi ostao
jer je vani snijeg

Ref.
Bozic bijel i zacaran
radostan i svet
mozda takav jedan dan
zblizi cijeli svijet
 
Nocas ce nas grijati
okiceni bor
i nas dom ce sijati
kao carski dvor

Svijet ce s jutrom zaspati
zadovoljan, tih
nasa jelka zasjati
sjajnija od svih

","https://tekstovi.net/2,610,14168.html",,Bijeli Božić,White Christmas,,"Bijeli Božić zasjao
1
kao zlatni brijeg
i u sobi ostao
jer je vani snijeg.. Božić bijeli začaran
radostan i svet
možda takav jedan dan
zbliži cijeli svijet.. Noćas će nas grijati
okićeni bor
i naš dom će sijati
kao carski dvor.. Svijet će sjutrom zaspati
zadovoljan tih
naša jelka zasjati
sjajnija od svih.","White Christmas shone
Like a golden hill
And remained in the room
Because there's snow outside.. White Christmas - enchanted,
Joyful and holy,
Maybe a day like that
Can make the whole world come together.. Tonight the decorated tree
Will keep us warm
And our home with glow
Like an emperor's palace.. The world will fall asleep with the morning
Content, quiet
Our Christmas tree will shine
The brightest of all.",https://lyricstranslate.com/en/bijeli-bo%C5%BEi%C4%87-white-christmas.html-0
CDOhygHn_1_6,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bosa Mara Bosnu pregazila,14932,"Bosa Mara Bosnu pregazila
Bosnu pregazila
aj Bosa Mara Bosnu pregazila
na vitu se jelu naslonila
jelu naslonila
aj na vitu se jelu naslonila
 
Vita jelo, ti visoko rastes
ti visoko rastes
aj vita jelo, ti visoko rastes
sto te pitam pravo da mi kazes
pravo da mi kazes
aj sto te pitam pravo da mi kazes

Je li mi se ozenio dragi
ozenio dragi
aj je li mi se ozenio dragi
jeste, Maro, vec godina dana
vec godina dana
aj jeste, Maro, vec godina dana

Ozenio i kcerku dobio
i kcerku dobio
aj ozenio i kcerku dobio
i tvoje joj ime nadjenuo
ime nadjenuo
aj i tvoje joj ime nadjenuo","https://tekstovi.net/2,610,10241.html",,,,,,,
CDOhygHn_1_7,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Boze, Boze, sta cu sad",5346,"Prodao sam ridjana 
za nekol'ko hiljada

Ref. 2x
Sve smo pare popili 
jos se nismo opili
Boze, Boze, sta cu sad

Prodao sam dorata 
ej za saku dukata

Zasviraj mi cigane 
da prezalim ridjane

Ref. 2x","https://tekstovi.net/2,610,7039.html",,,,,,,
CDOhygHn_1_8,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bukaru nam dajte 'vamo,4624,"Spustili se sokci do Jadrana
bevanda ih ceka i srdela slana
masline i prsut, bokun dobrog sira
poslije toga sama tamburica svira

Ref.
Bukaru nam dajte 'vamo
da jos jednu zapivamo
srce igra kao zica
jer i more je ravnica
 
Bacili su mrizu, al' je bila stara
u'vatili samo jadnog spara
i dok ih u moru riba ceka
vadi se iz torbe kulenova seka

Ref.
","https://tekstovi.net/2,610,8314.html",,,,,,,https://lyricstranslate.com/en/language/english-artists
CDOhygHn_1_9,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bunjevacka budnica,9766,"Kolo igra, tamburica svira
pisma jeci, neda srcu mira
nije majka rodila junaka
k'o bunjevca, takog veseljaka

Ref.
Veseli se, svako mu se divi
nek se znade, da bunjevac zivi
kolo igra, svako mu se divi
nek se znade, da bunjevac zivi

Ni divojke ne bise u nane
k'o sto j' kcerka bunjevacke grane
svilu nosi, a zlatom se krasi
crne oci, crne su joj vlasi","https://tekstovi.net/2,610,7494.html",,,,,,,
CDOhygHn_1_10,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ciganko Nino,5032,"Otkad nisi pored mene
ne gledam u druge zene
samo ti si zivot moj

Pa me mucis danima
pa ne spavam nocima
k'o u paklu sada gorim ja
 
Ref.
Ciganko Nino, mala vjestice
kao crno vino opila si me

Otkad nisi pored mene
ja tugujem i sve venem
a stalno si ljuta na mene

Pa me mucis danima
pa ne spavam nocima
k'o u paklu sada gorim ja

Otkad nisi pored mene
zivot su mi crne sjene
a znam da me ludo volis ti

Pa mucis me danima
pa ne spavam nocima
k'o u paklu sada gorim ja
","https://tekstovi.net/2,610,11292.html",,,,,,,
CDOhygHn_1_11,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Cura i tambura,8073,"Daj curi, daj sto joj srce zeli
tamburasu da te razveseli

Ref.
Sto das curi i tamburi to zaboravi
curu i tamburu
ljubi il' ostavi, ljubi il' ostavi
 
Daj curi, daj sto se curi snilo
tamburasu koliko ti milo

Ref.

Daj curi, daj sto je curi drago
tamburasu i srebro i zlato

Ref.","https://tekstovi.net/2,610,7874.html",,,,,,,
CDOhygHn_1_12,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Cvati, ruzo moja",7888,"Cvati, ruzo moja, o moj cvijete mio
aj sto put sam te suzama zalio
ljubec' oko garavo, garavo i plavo
al' ne znadoh sto me je cekalo

Znas li ruzo moja, kad sam te savio
aj garavo sam oko zavolio
okusio cemera, cemera i meda
pa se srce umiriti ne da
 
Plavo me je oko, pogledalo slatko
aj dok se nisam zaljubio jako
a kada sam ljubio u najvecoj mjeri
i plavo me oko iznevjeri

Sad mi zbogom ostaj, ruzice rumena
aj ljubav nam je, svu radost uzela
na mom srcu ruzice, ostadose rane
a na tvom se osusile grane","https://tekstovi.net/2,610,10113.html",,,,,,,
CDOhygHn_1_13,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Cvijet od kamena,5747,"Tek sto krenem, stanu koraci
ne mogu te natrag vratiti
radi tebe vrijedi stati, padati i ustajati
al' ti put u stopu pratiti

Tece jedna rijeka duboka
ona sve o mom zivotu zna
brzo tece, nema srece
kad me moja draga nece
kao da je sva od kamena
 
Ref.
Dva zivota nemam za sebe
dva zivota trebam za tebe
jedan zivot malo mi je
samo jedan dosta nije
da se zedno srce napije

Gori vatra, nema plamena
jesen dosla, ti si otisla
kad bi barem malo stala
malo ljubavi mi dala
ne bi bila cvijet od kamena","https://tekstovi.net/2,610,22752.html",,,,,,,
CDOhygHn_1_14,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Da me nije,8470,"Otkad otisla si s drugim
imam zelju da me nema
mrzim svako novo jutro
sto bez nas se poradja

Nigdje druga, nigdje brata
radost ne kuca na vrata
vec odavno mi se nista lijepo
i ne dogadja
 
Da me nema mozda ni'ko
ne bi zaplakao za mnom
u toj prici koja traje
ja sam zaboravljen lik

Ali zivot ide dalje
cudne razloge mi salje
da na malo srece ima pravo
cak i gubitnik

Ref.
Da me nije redom bi
sve kavane propale
kom' bi pjesme pjevali
kom' bi zore svitale

Da me nije k'o bi te
kao oci volio
s taksistima kruzio
tudje zene ljubio
","https://tekstovi.net/2,610,11224.html",,,,,,,
CDOhygHn_1_15,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Da si mi zdravo,4847,"Da si mi zdravo, ti oko garavo
ti sto kroz za me gledas
sto ljubit' se ne das

Da si mi zdravo, ti oko varavo
ti sakrivenom kosom, umiveno rosom 
 
Da si mi zdravo, ti luckasta glavo
ti sto kroz za me gledas 
sto ljubit' se ne das

Da si mi zdravo, ti oko garavo
da si mi zdravo, ti oko varavo
da si mi zdravo, ti luckasta glavo
da si mi zdravo
","https://tekstovi.net/2,610,7150.html",,,,,,,https://lyricstranslate.com/en/language/english-artists
CDOhygHn_1_16,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Da su meni krila laka,5984,"Kada glazba tiho svira
kad se cuju zlatne zice
moje srce nema mira
sve zbog tebe, golubice

Ref.
Da su meni krila laka
kao pjesme sa ravnice
pa da mogu poletjeti
za tobom, golubice
 
Ta me sudba zeljom vine 
i podari laka krila
mogao bih pogledati
gdje si svoje gnijezdo svila

Ref.
","https://tekstovi.net/2,610,7431.html",,,,,,,
CDOhygHn_1_17,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Dabogda me svake noci sanjala,7202,"Kad bi htio da smo zajedno 
ti ne mozes
jer ti stari ne da 
da se sa mnom nalazis
iako ti mati sluti
tko ti nocas guzva skuti
ne dozvoli da nas rastave
 
Ref.
Dabogda me svake noci sanjala
kad ne budes sama spavala
dabogda te moja pjesma budila
ako si me, zlato, varala

Kad bi htio da me ljubis
ti mi pobjegnes
jer se bojis vatre ako zakasnis
ne daju te tamburasu 
koj' te ceka na salasu
da ti bijelo lice miluje
za tebe bi drugog htjeli
koji novcem milost dijeli
ljubav tvoju od njih kupuje

Ref.
","https://tekstovi.net/2,610,9802.html",,,,,,,
CDOhygHn_1_18,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Daleko je Amerika,8595,"Amerika, Amerika 
zemlja preko mora
nek ne ide, nek ne ide 
k'o ici ne mora

Ja sam bio, ja sam bio 
pa sam se opek'o
nikad vise, nikad vise 
to sam se zarek'o
 
Ref.
Sta ce meni Eminem 
i Kalabrezi i mafija
sta mi treba u zivotu 
da me svuda prati CIA

Kad je Lijepa nasa puna 
i pjesme i srece
i mafije kakvu oni 
nikad imat' nece

Daleko je Amerika 
iza sedam gora
tamo grizu, tamo grizu 
kruh sa sedam kora

Teroristi i rasisti 
cudna zemlja neka
ma nije ti Amerika 
za naseg covjeka
","https://tekstovi.net/2,610,11398.html",,,,,,,
CDOhygHn_1_19,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Dalmatinski sajkas,8072,"Od prve svoje mladosti
ocuti srce moje
da cu za morem sirokim
ginuti zeljom svom
da cu za morem sirokim
ginuti zeljom svom
(2x)
 
Nu ostaviti dom svoj
ne mogu ni posto (3x)

Ref.
Stog' ovim samo krajem
koji davno vec poznajem
tjeram svoj camac maleni
nek' drugi svijetom plovi
nek' zlato, biser lovi
ja nis' ne marim za to

Oj divne mi Dalmacije
necu zaboravit'
oj divne mi Dalmacije
zaboravit' necu
(2x)

Mnogi mi strahota mi
prijeti nam more
nikada ne znas hoces li
dozivit' rujne zore
strasno nam prijete valovi
prijeti nam more

Ref.

Mornaru haj, mornaru haj
mornaru haj, mornaru haj
al' ja ne mogu s tobom poc'
ne mogu s tobom poc'
(2x)

Oj Dalmacijo tebe ne mogu ostavit'
oj tebe ja ne mogu nikad ostavit'
Dalmacijo, Dalmacijo, Dalmacijo
Dalmacijo, za te umirem ja","https://tekstovi.net/2,610,13321.html",,,,,,,
CDOhygHn_1_20,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Danijela,12150,"Moj Dunave, lutalico, reci meni ti
da li covjek moze birat' kog' ce voljeti
il' to dodje kako dodje, pa te razvali
ne moze tu nitko od nas nista mjenjati

Moj Dunave, prijatelju, priznat' cu ti sve
vjeruj, lakse bi mi bilo 
kad ne bi bilo nje
svaku noc mi u san dodje 
s njom se probudim
pa neka i umrem samo da ju poljubim
 
Ref.
Evo, dat' cu sve sto imam, konje, dukate
dat' cu i svoj dio stare sume hrastove
sablju sto je s ruskog fronta dida donio
i maramu koju je u Pesti kupio
dat' cu ako treba i svoju dusu cijelu
samo da poljubim Danijelu

Moj Dunave, kad bi barem meni priznao
koliko si svojom vodom tajni odnio
da l' da i ja s tobom krenem
da l' da pobjegnem
jer ja volim samo onu koju ne smijem
","https://tekstovi.net/2,610,10750.html",,,,,,,
CDOhygHn_1_21,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Dao bih zlatne dukate,8701,"Varala si, varala, mene momka mlada
lagala mi, lagala, ko niko do sada

Ref.
Dao bih zlatne dukate
da mi te samo povrate
dao bih sume hrastove
za tvoje oci garave
 
Bjezala si, bjezala, ko u sumi srna
volio sam, volio, ta dva oka crna

Ref.

Otisla si, otisla, ostavila tugu
srce moje ne moze zavoljeti drugu

Ref.
","https://tekstovi.net/2,610,7296.html",,,,,,,
CDOhygHn_1_22,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Davno se Tena udala (Tena II),10114,"Sto ostaje dusi becarskoj
kad prebrzo mladost mine
ne cuju se stare pjesme
prijatelji moji, gdje ste
da se opet s vama napijem

Kuci vise cesto ne idem
tek ponekad majku obidjem
i kad pita ja joj kazem
ne mogu da srcu slazem
i ne kanim da se ozenim
 
Drugu ljubit' nisam mogao
ne kazem da nisam probao
al' u srcu samo jedna
koja ne zna da je vrijedna
da se zbog nje zivot potrosi

Sad mi nekad dodje zao
konja kojih nema vise
prolazim kraj njene kuce
kao da je bilo juce
al' se davno Tena udala
","https://tekstovi.net/2,610,8310.html",,,,,,,
CDOhygHn_1_23,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Divne godine,42624,"Zagrli me sad
na kraju naseg sna
i nemoj plakati

Tko zna
mozda je ljubav 
samo zaspala
mozda nas opet 
negdje saceka
 
Kad vrijeme jednom
lica nabora
kad mladost prodje
sve sto je morala

Tko zna, mozda se 
sretnemo opet

Ref.
Zelim ti sve, sve najbolje
bilo je lijepo biti tu
kraj tebe i s tobom dijelit' snove
dobri moj andjele
ostaj mi zbogom ne daj se
i hvala ti za sve divne godine
","https://tekstovi.net/2,610,11182.html",,,,,,,
CDOhygHn_1_24,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Djetesce nam se rodilo,8259,"Djetesce nam se rodilo
u jaslice polozilo

Ref.
Isuse mileni, Boze moj
srce ti dajem da sam tvoj
 
Sin Boga Oca i Bog sam
s neba na zemlju sidje nam

Ref.

Cista ga Djeva rodila
i svojim mlijekom dojila

Ref.","https://tekstovi.net/2,610,7935.html",,,,,,,
CDOhygHn_1_25,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Djevojka je zelen bor sadila,40188,"Djevojka je zelen bor sadila
bor sadila, boru govorila

Rasti, rasti, moj zeleni bore
da se penjem tebi u vrhove

Da ja vidim Ravno i Konavle
da ja vidim dubrovcane mlade

Da ja vidim sto moj dragi radi
da li pije ili drugu ljubi

Ako pije nek se ne napije
ako ljubi nek se ne zaljubi","https://tekstovi.net/2,610,9816.html",,Djevojka je zelen bor sadila,,,"Djevojka je zelen bor sadila
Bor sadila, boru govorila. Rasti, rasti, moj zeleni bore
Da se penjem tebi u vrhove. Da ja vidim Ravno i Konavle
Da ja vidim dubrovčane mlade. Da ja vidim što moj dragi radi
Da li pije ili drugu ljubi?. Ako pije nek' se ne napije
Ako ljubi nek' se ne zaljubi",,https://lyricstranslate.com/en/cecilija-rudi%C4%87-djevojka-je-zelen-bor-sadila-lyrics.html
CDOhygHn_1_26,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Dnevnik mog djetinjstva,7312,"Kad otvorim prasnjav dnevnik 
mog djetinjstva
zamirisu zore
i tresnja prolista

Ref. 2x
Dobro jutro moje
siroke ravnice
dobro jutro moji
Sokci i Sokice
 
Pa rasiri oraj
po dvoristu grane
pod njim jos je trazim
kada sunce grane

Ref. 2x

Stari dido preze
konje u dva reda
dug je put do stana
al' se dido ne da

Ref. 2x","https://tekstovi.net/2,610,28753.html",,,,,,,
CDOhygHn_1_27,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Do dva konja, a obadva vrana",9643,"Do dva konja, a obadva vrana
eno stoje cvrsto zauzdana
ej a u koli sve mirise sijeno
ajde zeljo da se povezemo

Poljem ravnim pustit' cemo vrance
neka lete bijesno neprestance
ej neka lete, ma nikad ne stali
od umora makar popadali

Za svijet ljude ni briga nas nije
komu volja nek nam se i smije
ej sreca nasa, to su konji vrani
'ajmo zeljo, dok su razigrani","https://tekstovi.net/2,610,7191.html",,,,,,,
CDOhygHn_1_28,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Doci cu,7212,"Jedne zore doci cu
starim putem kroz vocnjak proci cu
kao lopov sto po svijetu luta
sakrit cu lice umorno od puta
sve je u redu, reci cu, a lagat cu

Jednog jutra doci cu
ulicom nasom praznom proci cu
vidjet ce me moje drustvo staro
i pitat' ce me sto mi nije pravo
sve je u redu, reci cu, a lagat cu
 
Ref.
I necu moci oci sklopiti
te noci kada krenu tvoji svatovi
samo cu jednu tihu suzu pustiti
sjajnu ko biser da te za me pozdravi

Jednom kada prodje sve
kad tuga stane, a bol posustane
poslije mnogo, mnogo godina
pratit' ce me moja sjecanja
sve je u redu, reci cu, a lagat cu
","https://tekstovi.net/2,610,9814.html",,,,,,,
CDOhygHn_1_29,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Dodji, dodji, draga",5830,"Dodji, dodji, draga, dodji cim se smraci
nek se mjesec, draga, tvome licu divi
ljepse ti je u narucju mome
jedanput se na tom svijetu zivi

Dodji, dodji, draga, 
neka tu je trava
sav moj nemir, draga
poljupcima smiri
 
Dodji, dodji, draga
dodji, pusti price
nitko tebe, draga
nizasto ne krivi

","https://tekstovi.net/2,610,7371.html",,,,,,,
